bs,output_len,use_ffn,avg_duration
1,10,0,1.96
1,10,1,2.31
1,20,0,3.74
1,20,1,4.43
1,30,0,5.47
1,30,1,6.52
1,40,0,7.28
1,40,1,8.67
1,50,0,8.98
1,50,1,10.58
1,60,0,10.74
1,60,1,12.95
1,70,0,12.22
1,70,1,14.69
1,80,0,14.09
1,80,1,17.06
1,90,0,15.4
1,90,1,19.37
1,100,0,17.93
1,100,1,20.58
1,200,0,33.72
1,200,1,39.46
1,300,0,49.15
1,300,1,59.15
1,400,0,65.64
1,400,1,79.27
1,500,0,83.03
1,500,1,97.88
1,600,0,99.91
1,600,1,118.63
1,700,0,116.45
1,700,1,138.24
1,800,0,135.03
1,800,1,157.83
2,10,0,2.11
2,10,1,2.46
2,20,0,4.03
2,20,1,4.74
2,30,0,5.91
2,30,1,6.96
2,40,0,7.72
2,40,1,9.14
2,50,0,9.65
2,50,1,11.27
2,60,0,11.55
2,60,1,13.62
2,70,0,13.32
2,70,1,15.78
2,80,0,15.1
2,80,1,17.62
2,90,0,16.69
2,90,1,20.51
2,100,0,19.13
2,100,1,21.77
2,200,0,35.14
2,200,1,41.13
2,300,0,53.24
2,300,1,62.76
2,400,0,70.8
2,400,1,82.92
2,500,0,88.03
2,500,1,102.56
2,600,0,106.04
2,600,1,124.26
2,700,0,125.15
2,700,1,147.13
2,800,0,143.5
2,800,1,167.47
4,10,0,2.14
4,10,1,2.51
4,20,0,4.06
4,20,1,4.72
4,30,0,5.97
4,30,1,6.94
4,40,0,7.87
4,40,1,9.19
4,50,0,9.73
4,50,1,11.43
4,60,0,11.38
4,60,1,13.66
4,70,0,13.57
4,70,1,16.01
4,80,0,14.82
4,80,1,18.1
4,90,0,16.69
4,90,1,19.13
4,100,0,19.1
4,100,1,21.67
4,200,0,36.94
4,200,1,42.12
4,300,0,54.22
4,300,1,61.59
4,400,0,71.41
4,400,1,84.04
4,500,0,89.5
4,500,1,105.2
4,600,0,108.88
4,600,1,125.33
4,700,0,126.41
4,700,1,147.22
4,800,0,145.03
4,800,1,169.37
8,10,0,2.2
8,10,1,2.54
8,20,0,4.13
8,20,1,4.85
8,30,0,6.03
8,30,1,7.15
8,40,0,8
8,40,1,9.43
8,50,0,9.85
8,50,1,11.43
8,60,0,11.76
8,60,1,13.88
8,70,0,13.8
8,70,1,16.29
8,80,0,15.47
8,80,1,18.58
8,90,0,17.15
8,90,1,21.07
8,100,0,19.58
8,100,1,22.07
8,200,0,36.57
8,200,1,42.47
8,300,0,54.37
8,300,1,64.07
8,400,0,73.29
8,400,1,85.5
8,500,0,92.56
8,500,1,108.33
8,600,0,110.27
8,600,1,129.66
8,700,0,130.05
8,700,1,151.12
8,800,0,150.61
8,800,1,175.64
16,10,0,2.25
16,10,1,2.61
16,20,0,4.19
16,20,1,4.94
16,30,0,6.13
16,30,1,7.28
16,40,0,8.08
16,40,1,9.57
16,50,0,9.97
16,50,1,11.67
16,60,0,12.04
16,60,1,13.69
16,70,0,13.89
16,70,1,16.44
16,80,0,16.04
16,80,1,18.05
16,90,0,17.65
16,90,1,20.16
16,100,0,19.16
16,100,1,22.29
16,200,0,38.45
16,200,1,44.94
16,300,0,57.16
16,300,1,66.24
16,400,0,76.2
16,400,1,88.92
16,500,0,96.65
16,500,1,111.81
16,600,0,117.09
16,600,1,135.53
16,700,0,137.67
16,700,1,159.75
16,800,0,159.54
16,800,1,183.86
32,10,0,2.39
32,10,1,2.77
32,20,0,4.45
32,20,1,5.23
32,30,0,6.51
32,30,1,7.62
32,40,0,8.55
32,40,1,9.91
32,50,0,10.56
32,50,1,12.16
32,60,0,12.77
32,60,1,15.09
32,70,0,14.3
32,70,1,17.52
32,80,0,16.8
32,80,1,19.05
32,90,0,19.07
32,90,1,21.21
32,100,0,19.84
32,100,1,23.71
32,200,0,39.46
32,200,1,46.63
32,300,0,60.2
32,300,1,70.35
32,400,0,82.45
32,400,1,94.8
32,500,0,105.44
32,500,1,121.24
32,600,0,129.6
32,600,1,147.92
32,700,0,153.67
32,700,1,177.81
32,800,0,178.69
32,800,1,204.09
64,10,0,2.7
64,10,1,3.13
64,20,0,4.95
64,20,1,5.78
64,30,0,7.25
64,30,1,8.54
64,40,0,9.53
64,40,1,11.27
64,50,0,11.89
64,50,1,14.14
64,60,0,14.27
64,60,1,16.23
64,70,0,15.8
64,70,1,19.19
64,80,0,18.11
64,80,1,22.6
64,90,0,21.48
64,90,1,24.86
64,100,0,23.4
64,100,1,26.07
64,200,0,47.48
64,200,1,53.4
64,300,0,72.78
64,300,1,83.16
64,400,0,100.04
64,400,1,113.62
64,500,0,129
64,500,1,148.24
64,600,0,161.02
64,600,1,181.81
64,700,0,194.74
64,700,1,219.85
64,800,0,230.38
64,800,1,259.08
128,10,0,3.53
128,10,1,4.05
128,20,0,6.41
128,20,1,7.39
128,30,0,9.37
128,30,1,10.86
128,40,0,12.49
128,40,1,14.56
128,50,0,15.54
128,50,1,17.93
128,60,0,18.28
128,60,1,21.76
128,70,0,20.99
128,70,1,23.5
128,80,0,24.99
128,80,1,27.63
128,90,0,27.17
128,90,1,31.08
128,100,0,30.1
128,100,1,35.02
128,200,0,62.48
128,200,1,69.96
128,300,0,99.18
128,300,1,109.81
128,400,0,138.49
128,400,1,155.12
128,500,0,182.25
128,500,1,200.72
128,600,0,229.81
128,600,1,252.83
128,700,0,281.47
128,700,1,306.97
128,800,0,336.05
128,800,1,365.72
256,10,0,5.18
256,10,1,5.98
256,20,0,9.48
256,20,1,10.97
256,30,0,13.5
256,30,1,15.22
256,40,0,17.88
256,40,1,20.92
256,50,0,22.57
256,50,1,25.15
256,60,0,25.57
256,60,1,29.39
256,70,0,30.49
256,70,1,33.82
256,80,0,34.5
256,80,1,38.29
256,90,0,39.88
256,90,1,43.07
256,100,0,42.85
256,100,1,49.6
256,200,0,92.63
256,200,1,101.45
256,300,0,146.91
256,300,1,160.53
256,400,0,210.61
256,400,1,228.26
256,500,0,280.91
256,500,1,304.57
256,600,0,360.13
256,600,1,387.69
256,700,0,447.68
256,700,1,479.24
256,800,0,539.23
256,800,1,574.87
