bs,output_len,use_ffn,avg_duration
8,10,0,3
8,10,1,3.4975
8,20,0,5.06
8,20,1,6.4
8,30,0,7.26
8,30,1,8.84
8,40,0,9.03
8,40,1,12.32
8,50,0,11.95
8,50,1,14.4125
8,60,0,13.2788
8,60,1,16.79
8,70,0,16.15
8,70,1,20.8575
8,80,0,17.76
8,80,1,22.54
8,90,0,21.23
8,90,1,26.1375
8,100,0,22.07
8,100,1,27.85
8,200,0,45.41
8,200,1,57.4
8,300,0,66.76
8,300,1,83.77
8,400,0,88.87
8,400,1,114.05
8,500,0,112.557
8,500,1,141.93
8,600,0,135.81
8,600,1,172.342
8,700,0,158.13
8,700,1,199.903
8,800,0,181.94
8,800,1,228.89
16,10,0,2.88
16,10,1,3.54
16,20,0,5.4
16,20,1,6.86
16,30,0,7.99
16,30,1,9.45
16,40,0,9.81
16,40,1,13.02
16,50,0,12.97
16,50,1,15.71
16,60,0,14.7288
16,60,1,18.7
16,70,0,18.36
16,70,1,21.3163
16,80,0,19.34
16,80,1,24
16,90,0,22.59
16,90,1,28.9062
16,100,0,24.36
16,100,1,30.17
16,200,0,47.68
16,200,1,61.25
16,300,0,72.08
16,300,1,90.9175
16,400,0,96.39
16,400,1,122.33
16,500,0,121.39
16,500,1,152.98
16,600,0,146.36
16,600,1,186.01
16,700,0,171.75
16,700,1,214.07
16,800,0,198.35
16,800,1,248.53
32,10,0,3.5875
32,10,1,4.24
32,20,0,6.34
32,20,1,8.22
32,30,0,10.325
32,30,1,11.76
32,40,0,12.2425
32,40,1,15.77
32,50,0,16.42
32,50,1,18.4
32,60,0,18.0162
32,60,1,21.59
32,70,0,22.31
32,70,1,25.8588
32,80,0,24.34
32,80,1,29
32,90,0,28.54
32,90,1,34.3
32,100,0,29.9
32,100,1,35.82
32,200,0,59.56
32,200,1,72.73
32,300,0,91.67
32,300,1,108.57
32,400,0,122.2
32,400,1,147.44
32,500,0,159.483
32,500,1,183.4
32,600,0,184.54
32,600,1,221.14
32,700,0,218.33
32,700,1,260.597
32,800,0,249.381
32,800,1,299.6
64,10,0,4.77
64,10,1,5.52
64,20,0,9.71
64,20,1,11.2113
64,30,0,13.555
64,30,1,15.27
64,40,0,18.65
64,40,1,21.4
64,50,0,22.5725
64,50,1,25.76
64,60,0,26.23
64,60,1,31.46
64,70,0,30.29
64,70,1,34.72
64,80,0,34.36
64,80,1,40.76
64,90,0,39.9963
64,90,1,44.56
64,100,0,43.12
64,100,1,50.16
64,200,0,88.26
64,200,1,100.84
64,300,0,132.54
64,300,1,151.39
64,400,0,177.324
64,400,1,210.62
64,500,0,225.94
64,500,1,260.96
64,600,0,272.12
64,600,1,309.776
64,700,0,320.38
64,700,1,361.56
64,800,0,368.18
64,800,1,417.75
128,10,0,7.735
128,10,1,8.88625
128,20,0,14.84
128,20,1,15.91
128,30,0,20.77
128,30,1,24.1425
128,40,0,27.98
128,40,1,30.31
128,50,0,34.61
128,50,1,38.31
128,60,0,40.94
128,60,1,45.31
128,70,0,48.11
128,70,1,53.7075
128,80,0,53.88
128,80,1,59.79
128,90,0,59.92
128,90,1,68.2263
128,100,0,67.5
128,100,1,75.21
128,200,0,135.47
128,200,1,152.24
128,300,0,204.485
128,300,1,231.44
128,400,0,274.21
128,400,1,306.747
128,500,0,345.17
128,500,1,386.61
128,600,0,419.354
128,600,1,468.13
128,700,0,492.954
128,700,1,553.66
128,800,0,574.23
128,800,1,633.966
256,10,0,12.29
256,10,1,14.22
256,20,0,22.59
256,20,1,25.33
256,30,0,34.0425
256,30,1,37.6975
256,40,0,43.84
256,40,1,50.21
256,50,0,55.11
256,50,1,62.67
256,60,0,65.18
256,60,1,73.73
256,70,0,78.25
256,70,1,85.8937
256,80,0,87.1
256,80,1,97.9
256,90,0,98.59
256,90,1,111.901
256,100,0,109.05
256,100,1,122.6
256,200,0,219.71
256,200,1,246.31
256,300,0,337.049
256,300,1,372.48
256,400,0,451.32
256,400,1,499.97
256,500,0,573.45
256,500,1,638.58
256,600,0,692.68
256,600,1,769.06
256,700,0,814.419
256,700,1,907.4
256,800,0,945.91
256,800,1,1048.21
