bs,output_len,use_ffn,avg_duration
1,10,0,7.8
1,10,1,12.46
1,20,0,15.12
1,20,1,24.23
1,30,0,22.56
1,30,1,36.4
1,40,0,29.8
1,40,1,48.27
1,50,0,37.59
1,50,1,60.34
1,60,0,45.04
1,60,1,72.57
1,70,0,52.66
1,70,1,84.87
1,80,0,60.1
1,80,1,96.45
1,90,0,67.26
1,90,1,108.32
1,100,0,74.7
1,100,1,121.11
1,200,0,149.23
1,200,1,241.31
1,300,0,224.65
1,300,1,363.27
1,400,0,299.67
1,400,1,483.99
1,500,0,379.19
1,500,1,606.22
1,600,0,451.19
1,600,1,728.51
1,700,0,526.14
1,700,1,854.29
1,800,0,605
1,800,1,975.81
2,10,0,8.08
2,10,1,11.33
2,20,0,15.48
2,20,1,22.22
2,30,0,23.08
2,30,1,33.35
2,40,0,30.68
2,40,1,44.02
2,50,0,38.34
2,50,1,55.39
2,60,0,46.2
2,60,1,65.99
2,70,0,54.21
2,70,1,76.91
2,80,0,61.52
2,80,1,87.98
2,90,0,68.89
2,90,1,98.74
2,100,0,76.25
2,100,1,109.91
2,200,0,154.05
2,200,1,220.19
2,300,0,232.64
2,300,1,330.96
2,400,0,309.76
2,400,1,441.05
2,500,0,389.6
2,500,1,554.72
2,600,0,464.58
2,600,1,665.04
2,700,0,548.35
2,700,1,780.68
2,800,0,628.66
2,800,1,890.39
4,10,0,7.97
4,10,1,11.44
4,20,0,15.76
4,20,1,22.31
4,30,0,23.43
4,30,1,33.4
4,40,0,30.97
4,40,1,44.45
4,50,0,38.82
4,50,1,55.9
4,60,0,46.32
4,60,1,66.91
4,70,0,54.52
4,70,1,77.82
4,80,0,62.4
4,80,1,89.23
4,90,0,70.73
4,90,1,99.9
4,100,0,77.96
4,100,1,111.57
4,200,0,157.02
4,200,1,222.52
4,300,0,237.58
4,300,1,335.5
4,400,0,316.03
4,400,1,448.4
4,500,0,397.32
4,500,1,562.91
4,600,0,479.03
4,600,1,677.44
4,700,0,560.39
4,700,1,794.61
4,800,0,643.96
4,800,1,903.97
8,10,0,8.33
8,10,1,11.74
8,20,0,16.18
8,20,1,23.17
8,30,0,24.02
8,30,1,34.29
8,40,0,32.46
8,40,1,45.56
8,50,0,39.95
8,50,1,56.93
8,60,0,47.9
8,60,1,68.14
8,70,0,56.53
8,70,1,80.08
8,80,0,64.01
8,80,1,91.51
8,90,0,72.07
8,90,1,102.83
8,100,0,79.81
8,100,1,114.28
8,200,0,160.08
8,200,1,226.93
8,300,0,242.48
8,300,1,346.75
8,400,0,326.24
8,400,1,460.81
8,500,0,413.39
8,500,1,582.67
8,600,0,499.91
8,600,1,699.68
8,700,0,589.05
8,700,1,822.84
8,800,0,678.16
8,800,1,946.06
16,10,0,8.86
16,10,1,12.5
16,20,0,16.89
16,20,1,24.25
16,30,0,25.07
16,30,1,35.74
16,40,0,33.33
16,40,1,47.73
16,50,0,41.97
16,50,1,59.31
16,60,0,50.09
16,60,1,71.05
16,70,0,58.89
16,70,1,82.69
16,80,0,67.8
16,80,1,95.24
16,90,0,75.63
16,90,1,106.44
16,100,0,84.16
16,100,1,119.16
16,200,0,170.46
16,200,1,238.98
16,300,0,259.52
16,300,1,361.6
16,400,0,352.56
16,400,1,489.49
16,500,0,447.63
16,500,1,617.62
16,600,0,545.7
16,600,1,748.48
16,700,0,646.84
16,700,1,883.69
16,800,0,747.41
16,800,1,1026.94
32,10,0,9.68
32,10,1,13.37
32,20,0,17.79
32,20,1,25.24
32,30,0,26.31
32,30,1,37.22
32,40,0,34.91
32,40,1,49.19
32,50,0,44.62
32,50,1,61.6
32,60,0,52.85
32,60,1,73.76
32,70,0,61.72
32,70,1,85.88
32,80,0,70.52
32,80,1,98.11
32,90,0,79.32
32,90,1,112.63
32,100,0,89.06
32,100,1,123.96
32,200,0,182.34
32,200,1,251.19
32,300,0,280.84
32,300,1,385.1
32,400,0,386.57
32,400,1,522.52
32,500,0,496.82
32,500,1,669.43
32,600,0,612.61
32,600,1,817.55
32,700,0,735.78
32,700,1,972.1
32,800,0,860.94
32,800,1,1137.22
64,10,0,14.31
64,10,1,20.23
64,20,0,27.18
64,20,1,35.79
64,30,0,40.04
64,30,1,52.36
64,40,0,53.22
64,40,1,69
64,50,0,66.44
64,50,1,86.3
64,60,0,80.13
64,60,1,103.19
64,70,0,94.19
64,70,1,120.38
64,80,0,107.17
64,80,1,137.38
64,90,0,121.04
64,90,1,155.28
64,100,0,135.06
64,100,1,172.26
64,200,0,279.65
64,200,1,353.24
64,300,0,436.62
64,300,1,545.34
64,400,0,604.77
64,400,1,747.94
64,500,0,786.08
64,500,1,964.12
64,600,0,974.66
64,600,1,1186.9
64,700,0,1176.16
64,700,1,1424.61
64,800,0,1390.35
64,800,1,1673.46
128,10,0,18.96
128,10,1,26.75
128,20,0,35.86
128,20,1,47.69
128,30,0,51.72
128,30,1,69.54
128,40,0,70.11
128,40,1,91.68
128,50,0,87.24
128,50,1,112.29
128,60,0,104.75
128,60,1,134.17
128,70,0,121.12
128,70,1,164.64
128,80,0,141.17
128,80,1,182.42
128,90,0,157.51
128,90,1,204.83
128,100,0,178.32
128,100,1,228.57
128,200,0,372.22
128,200,1,474.02
128,300,0,598.93
128,300,1,742.18
128,400,0,845.57
128,400,1,1024.37
128,500,0,1104.31
128,500,1,1345.1
128,600,0,1391.91
128,600,1,1652.84
128,700,0,1713.48
128,700,1,2023.97
128,800,0,2053.41
128,800,1,2419.25
256,10,0,26.28
256,10,1,40.81
256,20,0,46.65
256,20,1,70.54
256,30,0,67.73
256,30,1,100.4
256,40,0,89.9
256,40,1,130.78
256,50,0,114.04
256,50,1,162.86
256,60,0,135.31
256,60,1,193.55
256,70,0,157.26
256,70,1,225.1
256,80,0,185.95
256,80,1,258.3
256,90,0,209.55
256,90,1,292.61
256,100,0,229.73
256,100,1,324.68
256,200,0,501.6
256,200,1,682.56
256,300,0,820.9
256,300,1,1090.2
256,400,0,1191.6
256,400,1,1549.02
256,500,0,1587.3
256,500,1,2040.59
256,600,0,2041.08
256,600,1,2546.39
256,700,0,2535.68
256,700,1,3121.49
256,800,0,3104.83
256,800,1,3739.85
