bs,output_len,use_ffn,avg_duration
1,10,0,15.75
1,10,1,25.21
1,20,0,31.51
1,20,1,50.56
1,30,0,46.55
1,30,1,76.19
1,40,0,62.54
1,40,1,100.53
1,50,0,77.36
1,50,1,125.9
1,60,0,93.87
1,60,1,150.92
1,70,0,108.69
1,70,1,176.41
1,80,0,124.33
1,80,1,201.22
1,90,0,139.23
1,90,1,226.33
1,100,0,155.14
1,100,1,251.85
1,200,0,310.91
1,200,1,505.35
1,300,0,466.73
1,300,1,757.93
1,400,0,622.99
1,400,1,1011.71
1,500,0,779.02
1,500,1,1266.2
1,600,0,944.55
1,600,1,1517.55
1,700,0,1092.02
1,700,1,1771.65
1,800,0,1248
1,800,1,2029.54
2,10,0,13.61
2,10,1,20.21
2,20,0,26.41
2,20,1,40.2
2,30,0,39.41
2,30,1,60
2,40,0,52.9
2,40,1,80.31
2,50,0,66.78
2,50,1,99.86
2,60,0,79.08
2,60,1,119.7
2,70,0,92.44
2,70,1,139.53
2,80,0,104.93
2,80,1,160.36
2,90,0,119.9
2,90,1,179.7
2,100,0,131.59
2,100,1,199.42
2,200,0,263.94
2,200,1,400.27
2,300,0,395.48
2,300,1,599.5
2,400,0,528.03
2,400,1,803.6
2,500,0,661.44
2,500,1,1001.73
2,600,0,795.36
2,600,1,1200.34
2,700,0,928.52
2,700,1,1405.32
2,800,0,1067.14
2,800,1,1610.12
4,10,0,13.51
4,10,1,20.42
4,20,0,26.76
4,20,1,40.65
4,30,0,40.19
4,30,1,61.46
4,40,0,53.36
4,40,1,80.65
4,50,0,66.79
4,50,1,102.14
4,60,0,79.93
4,60,1,121.12
4,70,0,93.05
4,70,1,141
4,80,0,106.62
4,80,1,163.26
4,90,0,120.03
4,90,1,181.36
4,100,0,134.24
4,100,1,201.42
4,200,0,266.33
4,200,1,405.01
4,300,0,402.57
4,300,1,605.99
4,400,0,537.32
4,400,1,809.21
4,500,0,679.57
4,500,1,1015.72
4,600,0,811.44
4,600,1,1221.41
4,700,0,961.17
4,700,1,1428.03
4,800,0,1091.89
4,800,1,1640.61
8,10,0,13.88
8,10,1,21.04
8,20,0,27.55
8,20,1,41.69
8,30,0,41.1
8,30,1,61.77
8,40,0,54.85
8,40,1,82.17
8,50,0,67.72
8,50,1,103.34
8,60,0,81.54
8,60,1,123.9
8,70,0,94.67
8,70,1,143.5
8,80,0,109.95
8,80,1,163.79
8,90,0,122.14
8,90,1,185.6
8,100,0,135.79
8,100,1,204.83
8,200,0,274.44
8,200,1,411.74
8,300,0,412.01
8,300,1,619.98
8,400,0,554.87
8,400,1,830.49
8,500,0,697.22
8,500,1,1042.84
8,600,0,841.51
8,600,1,1257.14
8,700,0,990.89
8,700,1,1474.51
8,800,0,1141.83
8,800,1,1691.97
16,10,0,14.78
16,10,1,22.6
16,20,0,28.88
16,20,1,43.76
16,30,0,42.91
16,30,1,64.8
16,40,0,56.76
16,40,1,86.99
16,50,0,70.97
16,50,1,106.57
16,60,0,85.07
16,60,1,128.21
16,70,0,100.43
16,70,1,151.02
16,80,0,114.12
16,80,1,170.58
16,90,0,127.77
16,90,1,192.42
16,100,0,143.82
16,100,1,214.19
16,200,0,287.59
16,200,1,431.32
16,300,0,438.8
16,300,1,653.22
16,400,0,592.42
16,400,1,875.47
16,500,0,751.13
16,500,1,1104.98
16,600,0,913.62
16,600,1,1336.48
16,700,0,1080.48
16,700,1,1574.25
16,800,0,1261.17
16,800,1,1815.08
32,10,0,17.06
32,10,1,25.93
32,20,0,33.26
32,20,1,48.8
32,30,0,48.55
32,30,1,71.7
32,40,0,64.69
32,40,1,94.58
32,50,0,80.63
32,50,1,117.6
32,60,0,96.6
32,60,1,141.02
32,70,0,112.8
32,70,1,163.98
32,80,0,129.27
32,80,1,188.13
32,90,0,145.96
32,90,1,211.22
32,100,0,162.06
32,100,1,234.78
32,200,0,331.02
32,200,1,476.47
32,300,0,508.21
32,300,1,724.14
32,400,0,693.55
32,400,1,985.27
32,500,0,892.83
32,500,1,1250.15
32,600,0,1095.66
32,600,1,1524.36
32,700,0,1302.4
32,700,1,1803.95
32,800,0,1521.22
32,800,1,2095.94
64,10,0,23.26
64,10,1,34.37
64,20,0,44.31
64,20,1,62.71
64,30,0,64.96
64,30,1,91.65
64,40,0,85.86
64,40,1,120.46
64,50,0,106.82
64,50,1,149.14
64,60,0,128.56
64,60,1,178.59
64,70,0,150.53
64,70,1,207.67
64,80,0,171.95
64,80,1,237.27
64,90,0,193.88
64,90,1,266.75
64,100,0,215.81
64,100,1,296.62
64,200,0,446.81
64,200,1,603.61
64,300,0,692.81
64,300,1,924.87
64,400,0,956.84
64,400,1,1266.65
64,500,0,1239.57
64,500,1,1624.5
64,600,0,1533.31
64,600,1,1996.1
64,700,0,1841.92
64,700,1,2381.3
64,800,0,2169.48
64,800,1,2784.55
128,10,0,33.98
128,10,1,50.48
128,20,0,61.91
128,20,1,89.52
128,30,0,90.73
128,30,1,128.3
128,40,0,120.85
128,40,1,168.91
128,50,0,149.65
128,50,1,206.81
128,60,0,178.98
128,60,1,248.3
128,70,0,209.32
128,70,1,287.08
128,80,0,240.14
128,80,1,327.81
128,90,0,271.97
128,90,1,368.19
128,100,0,303.6
128,100,1,409.27
128,200,0,638.34
128,200,1,841.19
128,300,0,1007.56
128,300,1,1309.99
128,400,0,1413.59
128,400,1,1777.84
128,500,0,1849.79
128,500,1,2350.12
128,600,0,2296.21
128,600,1,2907.28
128,700,0,2825.19
128,700,1,3508.55
128,800,0,3362.79
128,800,1,4141.13
256,10,0,46.25
256,10,1,78.01
256,20,0,81.71
256,20,1,131.23
256,30,0,118.34
256,30,1,181.59
256,40,0,157.73
256,40,1,235.21
256,50,0,200.22
256,50,1,290.78
256,60,0,232.42
256,60,1,347.7
256,70,0,272.98
256,70,1,393.15
256,80,0,324.99
256,80,1,455.44
256,90,0,360.65
256,90,1,505.9
256,100,0,385.74
256,100,1,563.48
256,200,0,835.91
256,200,1,1168.23
256,300,0,1405.83
256,300,1,1895.23
256,400,0,2024.65
256,400,1,2643.4
256,500,0,2619.61
256,500,1,3489.7
256,600,0,3378.52
256,600,1,4363.48
256,700,0,4247.45
256,700,1,5328.22
256,800,0,5120.09
256,800,1,6247.13
