bs,output_len,use_ffn,avg_duration
8,10,0,2.29
8,10,1,2.73
8,20,0,4.26
8,20,1,5.13
8,30,0,6.64
8,30,1,7.67
8,40,0,8.01
8,40,1,9.89
8,50,0,10.14
8,50,1,12.02
8,60,0,11.97
8,60,1,14.18
8,70,0,13.97
8,70,1,16.3625
8,80,0,14.99
8,80,1,18.04
8,90,0,17.55
8,90,1,20.36
8,100,0,19.8
8,100,1,23.38
8,200,0,37.31
8,200,1,45.13
8,300,0,56.85
8,300,1,68.05
8,400,0,76.7
8,400,1,92.08
8,500,0,94.11
8,500,1,114.99
8,600,0,112.94
8,600,1,138.01
8,700,0,135.16
8,700,1,161.33
8,800,0,154.53
8,800,1,187.75
16,10,0,2.53
16,10,1,2.98
16,20,0,4.86
16,20,1,5.73
16,30,0,7.15
16,30,1,8.47
16,40,0,9.1275
16,40,1,10.37
16,50,0,11.03
16,50,1,12.9075
16,60,0,13.19
16,60,1,16.4775
16,70,0,15.74
16,70,1,18.09
16,80,0,17.1
16,80,1,20.44
16,90,0,19.47
16,90,1,22.78
16,100,0,22.76
16,100,1,25.5
16,200,0,43.4
16,200,1,50.91
16,300,0,65.45
16,300,1,76.64
16,400,0,87.08
16,400,1,102.46
16,500,0,108.88
16,500,1,130.15
16,600,0,133.33
16,600,1,156.66
16,700,0,155.71
16,700,1,182.39
16,800,0,181.31
16,800,1,212.66
32,10,0,3.16
32,10,1,3.44
32,20,0,5.6575
32,20,1,6.79
32,30,0,8.31
32,30,1,9.48
32,40,0,10.52
32,40,1,12.38
32,50,0,13.05
32,50,1,16.13
32,60,0,16.19
32,60,1,19.03
32,70,0,18.13
32,70,1,21.38
32,80,0,20.78
32,80,1,24.52
32,90,0,23.91
32,90,1,28.12
32,100,0,26.27
32,100,1,30.65
32,200,0,51.24
32,200,1,61.38
32,300,0,78.64
32,300,1,93.43
32,400,0,105.77
32,400,1,122.39
32,500,0,132.78
32,500,1,155.78
32,600,0,160.15
32,600,1,188.29
32,700,0,187.65
32,700,1,220.03
32,800,0,215.94
32,800,1,252.46
64,10,0,4.4
64,10,1,5.02
64,20,0,8.49
64,20,1,9.37
64,30,0,12.14
64,30,1,13.22
64,40,0,15.72
64,40,1,17.52
64,50,0,19.65
64,50,1,22.77
64,60,0,23.54
64,60,1,26.69
64,70,0,27.17
64,70,1,30.36
64,80,0,31.25
64,80,1,34.57
64,90,0,36.38
64,90,1,38.81
64,100,0,38.95
64,100,1,43.07
64,200,0,78.7
64,200,1,87.68
64,300,0,118.57
64,300,1,131.59
64,400,0,159.68
64,400,1,178.93
64,500,0,202.42
64,500,1,225
64,600,0,245.37
64,600,1,270.85
64,700,0,285.84
64,700,1,317.54
64,800,0,333.89
64,800,1,366.78
128,10,0,6.56
128,10,1,7.02
128,20,0,12.03
128,20,1,13.36
128,30,0,17.92
128,30,1,20.49
128,40,0,23.6475
128,40,1,25.95
128,50,0,29.58
128,50,1,32.53
128,60,0,35.4
128,60,1,38.49
128,70,0,42.01
128,70,1,44.98
128,80,0,47.12
128,80,1,51.85
128,90,0,53.18
128,90,1,58.52
128,100,0,59.65
128,100,1,64.32
128,200,0,118.2
128,200,1,129.28
128,300,0,179.73
128,300,1,197.03
128,400,0,243.1
128,400,1,262.71
128,500,0,306.72
128,500,1,333.16
128,600,0,372.07
128,600,1,404.11
128,700,0,441.73
128,700,1,476.18
128,800,0,506.64
128,800,1,550.75
256,10,0,11.04
256,10,1,12.14
256,20,0,21.17
256,20,1,23.09
256,30,0,31.28
256,30,1,35.19
256,40,0,41.42
256,40,1,45.33
256,50,0,51.6
256,50,1,56.44
256,60,0,62.08
256,60,1,68.42
256,70,0,72.06
256,70,1,79.43
256,80,0,82.94
256,80,1,90.6
256,90,0,93
256,90,1,101.16
256,100,0,103.73
256,100,1,112.66
256,200,0,209.555
256,200,1,227.53
256,300,0,317.03
256,300,1,344.79
256,400,0,427.98
256,400,1,464.95
256,500,0,543.72
256,500,1,588.37
256,600,0,659.33
256,600,1,714.42
256,700,0,778.425
256,700,1,844.285
256,800,0,900.76
256,800,1,975.39
