bs,output_len,use_ffn,avg_duration
8,10,0,20.4675
8,10,1,39.365
8,20,0,39.36
8,20,1,76.1
8,30,0,58.25
8,30,1,114.07
8,40,0,77.13
8,40,1,151.53
8,50,0,96.1275
8,50,1,188.87
8,60,0,115.725
8,60,1,226.72
8,70,0,134.78
8,70,1,264.09
8,80,0,155.18
8,80,1,300.86
8,90,0,174.12
8,90,1,337.52
8,100,0,192.99
8,100,1,376.84
8,200,0,385.4
8,200,1,753.6
8,300,0,580.96
8,300,1,1135.22
8,400,0,778.06
8,400,1,1515.41
8,500,0,981.88
8,500,1,1895.98
8,600,0,1180.89
8,600,1,2285.75
8,700,0,1388.13
8,700,1,2678.77
8,800,0,1598.12
8,800,1,3073.22
16,10,0,22.58
16,10,1,43.14
16,20,0,43.3
16,20,1,83.16
16,30,0,63.41
16,30,1,122.74
16,40,0,84.66
16,40,1,162.88
16,50,0,104.74
16,50,1,203.88
16,60,0,126.68
16,60,1,242.623
16,70,0,147.28
16,70,1,283.52
16,80,0,166.8
16,80,1,323.132
16,90,0,190.96
16,90,1,363.19
16,100,0,208.567
16,100,1,402.31
16,200,0,423.64
16,200,1,802.27
16,300,0,636.7
16,300,1,1215.42
16,400,0,860.98
16,400,1,1618.84
16,500,0,1081.15
16,500,1,2035.88
16,600,0,1307.49
16,600,1,2460.55
16,700,0,1538.49
16,700,1,2868.7
16,800,0,1791.72
16,800,1,3295.57
32,10,0,24.95
32,10,1,48.16
32,20,0,45.8
32,20,1,89.22
32,30,0,67.62
32,30,1,130.18
32,40,0,89.48
32,40,1,171.55
32,50,0,111.04
32,50,1,211.99
32,60,0,132.27
32,60,1,253.29
32,70,0,154.77
32,70,1,294.03
32,80,0,176.95
32,80,1,335.02
32,90,0,197.93
32,90,1,376.59
32,100,0,221.19
32,100,1,418.38
32,200,0,445.47
32,200,1,837.58
32,300,0,677.88
32,300,1,1261.69
32,400,0,914.63
32,400,1,1692.61
32,500,0,1163.56
32,500,1,2142.94
32,600,0,1417.15
32,600,1,2589.83
32,700,0,1672.67
32,700,1,3034.56
32,800,0,1946.75
32,800,1,3500.82
64,10,0,35.23
64,10,1,64.07
64,20,0,63.01
64,20,1,113.11
64,30,0,91.26
64,30,1,162.45
64,40,0,120.91
64,40,1,210.82
64,50,0,149.32
64,50,1,260.18
64,60,0,178.63
64,60,1,309.28
64,70,0,206.66
64,70,1,358.77
64,80,0,237.3
64,80,1,407.19
64,90,0,266.37
64,90,1,455.673
64,100,0,295.38
64,100,1,507.862
64,200,0,599.14
64,200,1,1009.86
64,300,0,918.3
64,300,1,1536.84
64,400,0,1251.57
64,400,1,2064.59
64,500,0,1601.41
64,500,1,2626.04
64,600,0,1956.79
64,600,1,3174.69
64,700,0,2337.23
64,700,1,3749.7
64,800,0,2715.19
64,800,1,4331.26
128,10,0,50.39
128,10,1,94.25
128,20,0,86.4525
128,20,1,154.39
128,30,0,124.27
128,30,1,215.94
128,40,0,163
128,40,1,275.94
128,50,0,200.115
128,50,1,337.76
128,60,0,238.57
128,60,1,399.06
128,70,0,276.815
128,70,1,458.53
128,80,0,315.65
128,80,1,521.8
128,90,0,357.14
128,90,1,583.75
128,100,0,393.79
128,100,1,647.94
128,200,0,807.62
128,200,1,1288.42
128,300,0,1251.68
128,300,1,1957.69
128,400,0,1722.74
128,400,1,2649.33
128,500,0,2234.46
128,500,1,3385.88
128,600,0,2744.54
128,600,1,4117.29
128,700,0,3320.81
128,700,1,4880.82
128,800,0,3883.31
128,800,1,5701.44
256,10,0,84.54
256,10,1,173.88
256,20,0,146.363
256,20,1,277.52
256,30,0,202.988
256,30,1,376.39
256,40,0,271.84
256,40,1,485.43
256,50,0,321.18
256,50,1,583.392
256,60,0,389.15
256,60,1,708.19
256,70,0,439.597
256,70,1,793.18
256,80,0,509.31
256,80,1,908.78
256,90,0,574.41
256,90,1,1022.12
256,100,0,635.283
256,100,1,1140.36
256,200,0,1305.67
256,200,1,2245.34
256,300,0,2040.65
256,300,1,3381.89
256,400,0,2882.99
256,400,1,4651.99
256,500,0,3654.73
256,500,1,5914.44
256,600,0,4542.79
256,600,1,7216.62
256,700,0,5518.91
256,700,1,8457.57
256,800,0,6456.6
256,800,1,9813.19
