bs,output_len,use_ffn,avg_duration
8,10,0,2.47
8,10,1,2.89
8,20,0,4.695
8,20,1,5.49
8,30,0,6.99
8,30,1,8.12
8,40,0,9.27
8,40,1,10.9
8,50,0,11.46
8,50,1,13.55
8,60,0,13.69
8,60,1,16.05
8,70,0,15.63
8,70,1,18.42
8,80,0,17.49
8,80,1,20.93
8,90,0,19.69
8,90,1,21.85
8,100,0,21.675
8,100,1,26.14
8,200,0,40.7
8,200,1,47.25
8,300,0,61.6
8,300,1,69.39
8,400,0,79.72
8,400,1,93.85
8,500,0,99.06
8,500,1,115.88
8,600,0,120.95
8,600,1,139.4
8,700,0,140.43
8,700,1,163.73
8,800,0,162.21
8,800,1,187.43
16,10,0,2.73
16,10,1,3.32
16,20,0,5.18
16,20,1,6.02
16,30,0,7.78
16,30,1,8.81
16,40,0,10.14
16,40,1,11.87
16,50,0,12.82
16,50,1,14.62
16,60,0,15.03
16,60,1,17.32
16,70,0,17.47
16,70,1,19.84
16,80,0,19.91
16,80,1,23.09
16,90,0,22.12
16,90,1,25.48
16,100,0,23.84
16,100,1,27.77
16,200,0,45.58
16,200,1,51.02
16,300,0,67.26
16,300,1,76.68
16,400,0,89.08
16,400,1,102.55
16,500,0,111.71
16,500,1,127.24
16,600,0,134.01
16,600,1,153.57
16,700,0,156.68
16,700,1,179.4
16,800,0,180.98
16,800,1,207.22
32,10,0,3.37
32,10,1,3.87
32,20,0,6.05
32,20,1,7.01
32,30,0,9.12
32,30,1,10.3
32,40,0,12.11
32,40,1,13.75
32,50,0,14.63
32,50,1,16.21
32,60,0,17.57
32,60,1,20.51
32,70,0,20.47
32,70,1,23.63
32,80,0,23.12
32,80,1,25
32,90,0,26.34
32,90,1,29.36
32,100,0,27.56
32,100,1,30.78
32,200,0,52.53
32,200,1,59.64
32,300,0,79.76
32,300,1,89.95
32,400,0,106.23
32,400,1,120.96
32,500,0,133.59
32,500,1,151.3
32,600,0,160.97
32,600,1,182.46
32,700,0,189.53
32,700,1,215.71
32,800,0,217.83
32,800,1,249.11
64,10,0,4.21
64,10,1,4.77
64,20,0,8.11
64,20,1,9.01
64,30,0,11.8
64,30,1,13.27
64,40,0,15.73
64,40,1,17.52
64,50,0,19.75
64,50,1,21.85
64,60,0,22.65
64,60,1,25.57
64,70,0,26.71
64,70,1,29.31
64,80,0,30.24
64,80,1,33.12
64,90,0,33.66
64,90,1,37.09
64,100,0,36.24
64,100,1,40.83
64,200,0,71.22
64,200,1,78.81
64,300,0,106.98
64,300,1,118.45
64,400,0,142.82
64,400,1,159.13
64,500,0,180.63
64,500,1,200.4
64,600,0,219.51
64,600,1,244.12
64,700,0,259.59
64,700,1,288.33
64,800,0,300.56
64,800,1,332.41
128,10,0,6.32
128,10,1,7.02
128,20,0,12.23
128,20,1,13.41
128,30,0,17.97
128,30,1,19.18
128,40,0,23.54
128,40,1,25.81
128,50,0,28.22
128,50,1,31.81
128,60,0,34.12
128,60,1,37.42
128,70,0,38.48
128,70,1,42.24
128,80,0,44.24
128,80,1,47.62
128,90,0,50.05
128,90,1,53.52
128,100,0,55.03
128,100,1,59.3
128,200,0,109.97
128,200,1,118.8
128,300,0,167.74
128,300,1,181.21
128,400,0,227.14
128,400,1,244.67
128,500,0,288.11
128,500,1,311.06
128,600,0,351.66
128,600,1,379.11
128,700,0,417.06
128,700,1,449.69
128,800,0,482.96
128,800,1,522.22
256,10,0,10.99
256,10,1,11.93
256,20,0,21.15
256,20,1,22.87
256,30,0,30.22
256,30,1,32.27
256,40,0,39.55
256,40,1,42.13
256,50,0,48.61
256,50,1,52.2
256,60,0,58.19
256,60,1,62.05
256,70,0,67.85
256,70,1,72.2
256,80,0,77.09
256,80,1,82.03
256,90,0,86.37
256,90,1,92.28
256,100,0,95.81
256,100,1,102.35
256,200,0,193.15
256,200,1,205.45
256,300,0,293.99
256,300,1,313.5
256,400,0,400.69
256,400,1,425.11
256,500,0,508.81
256,500,1,540.79
256,600,0,623.06
256,600,1,659.72
256,700,0,738.775
256,700,1,783.75
256,800,0,858.68
256,800,1,909.14
