bs,output_len,use_ffn,avg_duration
1,10,0,2.41
1,10,1,2.91
1,20,0,4.62
1,20,1,5.42
1,30,0,6.81
1,30,1,7.86
1,40,0,9.05
1,40,1,10.04
1,50,0,10.99
1,50,1,12.93
1,60,0,12.95
1,60,1,15.31
1,70,0,15.25
1,70,1,18.1
1,80,0,16.91
1,80,1,20.6
1,90,0,19.91
1,90,1,23.15
1,100,0,21.96
1,100,1,25.02
1,200,0,42.48
1,200,1,50.53
1,300,0,64.15
1,300,1,79.14
1,400,0,85
1,400,1,101.52
1,500,0,107.49
1,500,1,128.06
1,600,0,133.7
1,600,1,152.87
1,700,0,153.08
1,700,1,178.96
1,800,0,176.07
1,800,1,212.21
2,10,0,2.47
2,10,1,3.05
2,20,0,4.86
2,20,1,5.82
2,30,0,7.05
2,30,1,8.31
2,40,0,9.12
2,40,1,10.85
2,50,0,13.27
2,50,1,13.37
2,60,0,13.75
2,60,1,16.43
2,70,0,16.02
2,70,1,18.76
2,80,0,18.46
2,80,1,22.08
2,90,0,20.91
2,90,1,23.93
2,100,0,22.72
2,100,1,27.03
2,200,0,45.28
2,200,1,57.47
2,300,0,68.57
2,300,1,79.65
2,400,0,91.03
2,400,1,106.47
2,500,0,116.01
2,500,1,138.54
2,600,0,137.15
2,600,1,163.77
2,700,0,161.66
2,700,1,190.85
2,800,0,186.59
2,800,1,215.62
4,10,0,2.64
4,10,1,3.06
4,20,0,4.98
4,20,1,5.94
4,30,0,7.37
4,30,1,8.63
4,40,0,9.63
4,40,1,12.96
4,50,0,11.7
4,50,1,13.56
4,60,0,13.84
4,60,1,16.26
4,70,0,16.42
4,70,1,19.77
4,80,0,19.13
4,80,1,22.3
4,90,0,21.27
4,90,1,24.36
4,100,0,22.57
4,100,1,27.35
4,200,0,45.86
4,200,1,53.49
4,300,0,68.73
4,300,1,80.72
4,400,0,96.26
4,400,1,111.57
4,500,0,117.06
4,500,1,137.36
4,600,0,138.66
4,600,1,170.21
4,700,0,169
4,700,1,200.63
4,800,0,194.81
4,800,1,228.19
8,10,0,2.64
8,10,1,3.2
8,20,0,5.1
8,20,1,6.07
8,30,0,7.39
8,30,1,8.58
8,40,0,9.62
8,40,1,11.4
8,50,0,12.03
8,50,1,14.11
8,60,0,14.14
8,60,1,17.06
8,70,0,16.88
8,70,1,20.42
8,80,0,18.88
8,80,1,22.63
8,90,0,21.61
8,90,1,25.5
8,100,0,23.48
8,100,1,27.84
8,200,0,47.82
8,200,1,56.41
8,300,0,75.39
8,300,1,85.29
8,400,0,98.97
8,400,1,117.4
8,500,0,120.64
8,500,1,142.58
8,600,0,146.2
8,600,1,175.1
8,700,0,176.89
8,700,1,204.95
8,800,0,200.01
8,800,1,238.06
16,10,0,2.78
16,10,1,3.26
16,20,0,5.36
16,20,1,6.12
16,30,0,7.69
16,30,1,9.23
16,40,0,10.15
16,40,1,11.89
16,50,0,12.53
16,50,1,14.97
16,60,0,15.48
16,60,1,17.77
16,70,0,17.4
16,70,1,20.87
16,80,0,20.16
16,80,1,25.29
16,90,0,22.51
16,90,1,26.46
16,100,0,25.42
16,100,1,29.51
16,200,0,50.72
16,200,1,59.77
16,300,0,78.16
16,300,1,90.22
16,400,0,104.44
16,400,1,121.2
16,500,0,132.03
16,500,1,155.58
16,600,0,160.81
16,600,1,186.27
16,700,0,193.37
16,700,1,220.41
16,800,0,218.62
16,800,1,258.17
32,10,0,3.15
32,10,1,3.78
32,20,0,5.89
32,20,1,7.92
32,30,0,8.9
32,30,1,10.18
32,40,0,12.01
32,40,1,13.55
32,50,0,14.37
32,50,1,16.92
32,60,0,17.14
32,60,1,20.06
32,70,0,19.92
32,70,1,23.24
32,80,0,22.78
32,80,1,26.7
32,90,0,25.87
32,90,1,30.81
32,100,0,28.69
32,100,1,33.4
32,200,0,58.34
32,200,1,67.61
32,300,0,91.09
32,300,1,103.81
32,400,0,122.01
32,400,1,143.61
32,500,0,157.25
32,500,1,180.04
32,600,0,191.33
32,600,1,219.74
32,700,0,227.94
32,700,1,261.53
32,800,0,267.1
32,800,1,304.57
64,10,0,4.29
64,10,1,5.11
64,20,0,7.81
64,20,1,9.28
64,30,0,11.46
64,30,1,13.46
64,40,0,15.43
64,40,1,17.7
64,50,0,19.4
64,50,1,21.98
64,60,0,23
64,60,1,28.64
64,70,0,27.15
64,70,1,31.39
64,80,0,31.46
64,80,1,35.55
64,90,0,34.98
64,90,1,39.66
64,100,0,40.44
64,100,1,45.16
64,200,0,80.08
64,200,1,92
64,300,0,124.29
64,300,1,143.43
64,400,0,173.19
64,400,1,197.56
64,500,0,225.03
64,500,1,248.95
64,600,0,276.43
64,600,1,312.51
64,700,0,337.12
64,700,1,376.69
64,800,0,392.69
64,800,1,434.4
128,10,0,5.52
128,10,1,6.34
128,20,0,10.27
128,20,1,11.71
128,30,0,15.14
128,30,1,17.16
128,40,0,20.69
128,40,1,22.84
128,50,0,25.11
128,50,1,28.54
128,60,0,30.57
128,60,1,34.5
128,70,0,35.38
128,70,1,40
128,80,0,40.76
128,80,1,45.72
128,90,0,46.03
128,90,1,52.2
128,100,0,54.2
128,100,1,57.51
128,200,0,109.65
128,200,1,120.02
128,300,0,168.68
128,300,1,190.51
128,400,0,235.87
128,400,1,262.42
128,500,0,312.82
128,500,1,344.12
128,600,0,389.49
128,600,1,428.13
128,700,0,474.28
128,700,1,520.92
128,800,0,566.14
128,800,1,615.91
