bs,output_len,use_ffn,avg_duration
8,10,0,11.67
8,10,1,21
8,20,0,22.98
8,20,1,41.39
8,30,0,34.05
8,30,1,65.23
8,40,0,44.47
8,40,1,80.45
8,50,0,54.66
8,50,1,99.96
8,60,0,65.59
8,60,1,120.03
8,70,0,77.16
8,70,1,140
8,80,0,87.35
8,80,1,159.29
8,90,0,98.25
8,90,1,181.33
8,100,0,112.2
8,100,1,203.08
8,200,0,219.14
8,200,1,399.77
8,300,0,332.92
8,300,1,603.22
8,400,0,443.08
8,400,1,804.42
8,500,0,557.955
8,500,1,1012.71
8,600,0,676.34
8,600,1,1216.06
8,700,0,792.37
8,700,1,1425.41
8,800,0,912.74
8,800,1,1637.97
16,10,0,12.86
16,10,1,22.25
16,20,0,24.05
16,20,1,43.09
16,30,0,35.68
16,30,1,63.63
16,40,0,46.62
16,40,1,83.9
16,50,0,58
16,50,1,104.03
16,60,0,69.42
16,60,1,125.37
16,70,0,81.15
16,70,1,145.77
16,80,0,92.35
16,80,1,166.63
16,90,0,103.29
16,90,1,186.96
16,100,0,115.61
16,100,1,208.385
16,200,0,234.67
16,200,1,421.09
16,300,0,353.1
16,300,1,634.5
16,400,0,477.39
16,400,1,850.57
16,500,0,602.23
16,500,1,1070.46
16,600,0,733.67
16,600,1,1289.77
16,700,0,861.96
16,700,1,1513.27
16,800,0,995.32
16,800,1,1740.3
32,10,0,13.74
32,10,1,24.26
32,20,0,25.98
32,20,1,44.37
32,30,0,37.71
32,30,1,65.48
32,40,0,49.2
32,40,1,86.1
32,50,0,61.66
32,50,1,106.76
32,60,0,73.19
32,60,1,127.76
32,70,0,85.04
32,70,1,148.77
32,80,0,97.17
32,80,1,170.11
32,90,0,109.16
32,90,1,192.78
32,100,0,121.23
32,100,1,212.04
32,200,0,247.94
32,200,1,429.25
32,300,0,382
32,300,1,650.85
32,400,0,516.94
32,400,1,876.34
32,500,0,658.26
32,500,1,1110.77
32,600,0,812.3
32,600,1,1351.81
32,700,0,966.52
32,700,1,1592.98
32,800,0,1125.71
32,800,1,1848.24
64,10,0,16.42
64,10,1,28.5
64,20,0,29
64,20,1,50.31
64,30,0,45.18
64,30,1,72.09
64,40,0,55.32
64,40,1,94.87
64,50,0,68.84
64,50,1,119.09
64,60,0,81.68
64,60,1,140.92
64,70,0,96.09
64,70,1,162.72
64,80,0,108.99
64,80,1,185.78
64,90,0,123.55
64,90,1,209.06
64,100,0,137.25
64,100,1,232.25
64,200,0,282.17
64,200,1,470.95
64,300,0,439.78
64,300,1,721.85
64,400,0,607.58
64,400,1,984.42
64,500,0,785.8
64,500,1,1263.45
64,600,0,975.95
64,600,1,1540.6
64,700,0,1176.46
64,700,1,1839.96
64,800,0,1393.52
64,800,1,2138.82
128,10,0,22.69
128,10,1,37.06
128,20,0,38.15
128,20,1,64.05
128,30,0,54.91
128,30,1,90.18
128,40,0,74.03
128,40,1,116.03
128,50,0,88.62
128,50,1,143.24
128,60,0,106.05
128,60,1,170.04
128,70,0,123.83
128,70,1,198.08
128,80,0,141.17
128,80,1,225.57
128,90,0,159.42
128,90,1,253.8
128,100,0,177.51
128,100,1,282.07
128,200,0,375.35
128,200,1,578.145
128,300,0,592.97
128,300,1,897.225
128,400,0,835.86
128,400,1,1235.1
128,500,0,1096.67
128,500,1,1600.13
128,600,0,1387.7
128,600,1,1994.87
128,700,0,1687.43
128,700,1,2399.55
128,800,0,2021.52
128,800,1,2821.81
256,10,0,33.91
256,10,1,59.02
256,20,0,55.85
256,20,1,96.8
256,30,0,79.4
256,30,1,134.63
256,40,0,104.11
256,40,1,174.18
256,50,0,127.94
256,50,1,211.58
256,60,0,153.11
256,60,1,251.26
256,70,0,178.36
256,70,1,291.34
256,80,0,203.44
256,80,1,333.38
256,90,0,229.67
256,90,1,373.11
256,100,0,256.61
256,100,1,414.69
256,200,0,550.18
256,200,1,853.09
256,300,0,891.21
256,300,1,1339.26
256,400,0,1275.26
256,400,1,1865.3
256,500,0,1705.08
256,500,1,2428.03
256,600,0,2187.68
256,600,1,3050.01
256,700,0,2693.39
256,700,1,3695.44
256,800,0,3247.81
256,800,1,4403.12
