bs,output_len,use_ffn,avg_duration
8,10,0,3.13
8,10,1,4.06
8,20,0,5.95
8,20,1,7.73
8,30,0,8.75
8,30,1,11.43
8,40,0,11.57
8,40,1,15.19
8,50,0,14.32
8,50,1,18.73
8,60,0,17.23
8,60,1,22.57
8,70,0,20.21
8,70,1,28.66
8,80,0,23.34
8,80,1,29.76
8,90,0,25.56
8,90,1,32.36
8,100,0,28.31
8,100,1,35.66
8,200,0,55.52
8,200,1,71.56
8,300,0,81.29
8,300,1,101.97
8,400,0,105.47
8,400,1,136.12
8,500,0,132.63
8,500,1,170.915
8,600,0,159.88
8,600,1,206.2
8,700,0,187.05
8,700,1,243.66
8,800,0,218.03
8,800,1,280.5
16,10,0,3.47
16,10,1,4.59
16,20,0,6.67
16,20,1,8.44
16,30,0,11.99
16,30,1,12.38
16,40,0,12.75
16,40,1,16.36
16,50,0,15.83
16,50,1,20.38
16,60,0,21.29
16,60,1,24.66
16,70,0,22.46
16,70,1,28.45
16,80,0,25.35
16,80,1,31.68
16,90,0,28.16
16,90,1,37.42
16,100,0,31.42
16,100,1,38.95
16,200,0,58.17
16,200,1,74.44
16,300,0,87.67
16,300,1,113.61
16,400,0,119.14
16,400,1,149.46
16,500,0,148.608
16,500,1,186.91
16,600,0,178.267
16,600,1,226.51
16,700,0,210.36
16,700,1,266.89
16,800,0,241.63
16,800,1,306.76
32,10,0,3.94
32,10,1,4.99
32,20,0,7.4
32,20,1,9.35
32,30,0,10.85
32,30,1,16.31
32,40,0,14.33
32,40,1,18.42
32,50,0,17.81
32,50,1,22.82
32,60,0,23.48
32,60,1,26.91
32,70,0,24.94
32,70,1,30.59
32,80,0,27.67
32,80,1,35.08
32,90,0,31.79
32,90,1,39
32,100,0,34.28
32,100,1,41.96
32,200,0,67.59
32,200,1,81.84
32,300,0,100.18
32,300,1,125.66
32,400,0,132.1
32,400,1,165
32,500,0,166.96
32,500,1,213.01
32,600,0,203.858
32,600,1,255.19
32,700,0,242.19
32,700,1,299.66
32,800,0,280.95
32,800,1,349.12
64,10,0,4.76
64,10,1,6.1075
64,20,0,8.83
64,20,1,11.1
64,30,0,13.07
64,30,1,16.18
64,40,0,17.06
64,40,1,21.6
64,50,0,21.5
64,50,1,26.62
64,60,0,25.76
64,60,1,31.46
64,70,0,29.2
64,70,1,36.11
64,80,0,32.23
64,80,1,41.22
64,90,0,37.11
64,90,1,46.33
64,100,0,40.4
64,100,1,49.03
64,200,0,81.84
64,200,1,95.4075
64,300,0,119.33
64,300,1,145.787
64,400,0,163.69
64,400,1,196.8
64,500,0,206.05
64,500,1,250.09
64,600,0,253.18
64,600,1,306.76
64,700,0,300.76
64,700,1,365.93
64,800,0,351.2
64,800,1,425.31
128,10,0,6.96
128,10,1,8.89
128,20,0,12.87
128,20,1,16.25
128,30,0,18.95
128,30,1,23.66
128,40,0,25.06
128,40,1,30.74
128,50,0,30.6
128,50,1,37.18
128,60,0,36.27
128,60,1,43.78
128,70,0,41.525
128,70,1,49.74
128,80,0,46.41
128,80,1,56.89
128,90,0,51.83
128,90,1,62.6
128,100,0,56.88
128,100,1,69.62
128,200,0,114.63
128,200,1,139.74
128,300,0,176.9
128,300,1,213.67
128,400,0,242.07
128,400,1,290.84
128,500,0,310.75
128,500,1,371.76
128,600,0,384.37
128,600,1,458.31
128,700,0,460.91
128,700,1,548.38
128,800,0,540.82
128,800,1,639.55
256,10,0,10.95
256,10,1,13.85
256,20,0,19.96
256,20,1,24.89
256,30,0,29.21
256,30,1,34.76
256,40,0,36.89
256,40,1,45
256,50,0,44.83
256,50,1,54.69
256,60,0,53.48
256,60,1,63.68
256,70,0,61.71
256,70,1,73.71
256,80,0,69.42
256,80,1,84.02
256,90,0,78.1
256,90,1,94.2
256,100,0,86.35
256,100,1,103.58
256,200,0,176.37
256,200,1,209.88
256,300,0,274.92
256,300,1,325.34
256,400,0,379.37
256,400,1,447.53
256,500,0,491.66
256,500,1,575.912
256,600,0,613.85
256,600,1,714.77
256,700,0,742.16
256,700,1,858.52
256,800,0,875.66
256,800,1,1008.58
