bs,output_len,use_ffn,avg_duration
1,10,0,19.08
1,10,1,35.76
1,20,0,39.32
1,20,1,71.14
1,30,0,55.78
1,30,1,106.66
1,40,0,74.24
1,40,1,142.14
1,50,0,94.76
1,50,1,180.24
1,60,0,113.48
1,60,1,215.15
1,70,0,132.18
1,70,1,250.82
1,80,0,150.23
1,80,1,286.46
1,90,0,168.63
1,90,1,321.83
1,100,0,185.2
1,100,1,354.72
1,200,0,371.02
1,200,1,711.67
1,300,0,559.1
1,300,1,1068.3
1,400,0,743.18
1,400,1,1421.69
1,500,0,931.48
1,500,1,1778.32
1,600,0,1119.16
1,600,1,2138.89
1,700,0,1304.93
1,700,1,2500.6
1,800,0,1497.69
1,800,1,2853.48
2,10,0,19.43
2,10,1,36.27
2,20,0,37.63
2,20,1,72.3
2,30,0,56.48
2,30,1,109.92
2,40,0,75.2
2,40,1,144.31
2,50,0,93.47
2,50,1,180.35
2,60,0,112.27
2,60,1,216.46
2,70,0,130.89
2,70,1,252.25
2,80,0,151.85
2,80,1,288.07
2,90,0,170.76
2,90,1,324.3
2,100,0,187.08
2,100,1,361.8
2,200,0,374.78
2,200,1,723.04
2,300,0,562.27
2,300,1,1084.52
2,400,0,751.28
2,400,1,1447.44
2,500,0,942.85
2,500,1,1810.86
2,600,0,1136.85
2,600,1,2176.03
2,700,0,1326.42
2,700,1,2539.37
2,800,0,1518.32
2,800,1,2904.23
4,10,0,19.47
4,10,1,36.48
4,20,0,37.85
4,20,1,72.56
4,30,0,56.61
4,30,1,108.65
4,40,0,75.57
4,40,1,144.98
4,50,0,94.11
4,50,1,180.82
4,60,0,112.93
4,60,1,217.4
4,70,0,131.61
4,70,1,253
4,80,0,150.5
4,80,1,289.2
4,90,0,169.51
4,90,1,325.28
4,100,0,188.11
4,100,1,361.44
4,200,0,377.41
4,200,1,727.22
4,300,0,568.42
4,300,1,1092.02
4,400,0,763.75
4,400,1,1459.08
4,500,0,957.59
4,500,1,1829.54
4,600,0,1151.82
4,600,1,2200.87
4,700,0,1346.78
4,700,1,2564.25
4,800,0,1544.32
4,800,1,2934.09
8,10,0,19.39
8,10,1,36.94
8,20,0,38.16
8,20,1,73.3
8,30,0,57.09
8,30,1,109.45
8,40,0,76.21
8,40,1,145.76
8,50,0,95.45
8,50,1,182.62
8,60,0,113.95
8,60,1,218.67
8,70,0,134.89
8,70,1,255.22
8,80,0,152.49
8,80,1,291.82
8,90,0,171.48
8,90,1,328.39
8,100,0,192.35
8,100,1,367.97
8,200,0,385.16
8,200,1,735.68
8,300,0,582.36
8,300,1,1106.27
8,400,0,782.67
8,400,1,1477.31
8,500,0,982.78
8,500,1,1853.58
8,600,0,1186.69
8,600,1,2238.72
8,700,0,1393.51
8,700,1,2616.31
8,800,0,1602.07
8,800,1,3004.99
16,10,0,20.7
16,10,1,38.16
16,20,0,39.2
16,20,1,75.04
16,30,0,58.48
16,30,1,111.82
16,40,0,77.83
16,40,1,148.63
16,50,0,97.17
16,50,1,185.95
16,60,0,116.82
16,60,1,222.54
16,70,0,136.47
16,70,1,259.7
16,80,0,155.79
16,80,1,296.76
16,90,0,175.63
16,90,1,334.57
16,100,0,195.43
16,100,1,371.12
16,200,0,395.54
16,200,1,748.71
16,300,0,605.06
16,300,1,1131.02
16,400,0,816.53
16,400,1,1517.38
